S#,SNAME,SEX,BDATE,HEIGHT,DORM
02202548,丁帅,女,2003-09-20,1.77,西4舍419
02002550,马龙,男,2003-05-27,1.85,东4舍419
02202552,许荣,女,2002-09-20,1.60,西4舍420
02002554,高欣,男,2001-08-28,1.78,东4舍420
02202556,成玉华,女,2003-07-28,1.52,西4舍420
02002558,梁红霞,男,2001-07-30,1.79,东4舍420
02202560,杨辉,女,2001-06-06,1.70,西4舍421
02002562,李波,男,2001-06-05,1.64,东4舍421
02202564,苏春梅,女,2003-09-23,1.75,西4舍421
02002566,张丽娟,男,2001-10-01,1.83,东4舍421
02202568,张淑华,女,2001-05-11,1.73,西4舍422
02002570,何彬,男,2001-07-02,1.87,东4舍422
02202572,魏岩,女,2003-05-02,1.63,西4舍422
02002574,索岩,男,2003-08-24,1.89,东4舍422
02202576,李玲,女,2002-08-16,1.59,西4舍423
02002578,彭建军,男,2002-01-12,1.70,东4舍423
02202580,凌桂芝,女,2003-12-06,1.61,西4舍423
02002582,王荣,男,2003-07-28,1.88,东4舍423
02202584,陈辉,女,2003-10-04,1.51,西4舍424
02002586,郑磊,男,2003-01-01,1.76,东4舍424
02202588,邵淑兰,女,2001-01-14,1.79,西4舍424
02002590,郑洁,男,2003-08-07,1.84,东4舍424
02202592,高畅,女,2001-05-13,1.68,西4舍425
02002594,李敏,男,2001-11-26,1.64,东4舍425
02202596,阎强,女,2003-05-12,1.60,西4舍425
02002598,贺红霞,男,2003-08-03,1.89,东4舍425
02202600,林秀华,女,2001-01-08,1.59,西4舍426
02002602,周波,男,2002-05-20,1.73,东4舍426
02202604,陈宁,女,2003-06-07,1.76,西4舍426
02002606,王凤英,男,2001-04-20,1.73,东4舍426
02202608,吴飞,女,2001-03-12,1.66,西4舍427
02002610,王明,男,2002-07-22,1.74,东4舍427
02202612,魏倩,女,2002-03-31,1.79,西4舍427
02002614,王桂花,男,2002-05-26,1.86,东4舍427
02202616,杨桂花,女,2001-06-06,1.71,西4舍428
02002618,张超,男,2001-02-17,1.87,东4舍428
02202620,田建平,女,2003-11-18,1.77,西4舍428
02002622,郜玉华,男,2001-03-03,1.81,东4舍428
02202624,冯博,女,2003-08-24,1.73,西4舍429
02002626,薛洁,男,2002-04-07,1.65,东4舍429
02202628,刘荣,女,2002-06-16,1.52,西4舍429
02002630,杨梅,男,2002-06-03,1.73,东4舍429
02202632,刘丹丹,女,2001-02-16,1.58,西4舍430
02002634,丁淑华,男,2003-12-01,1.80,东4舍430
02202636,陈芳,女,2003-01-16,1.73,西4舍430
02002638,赵勇,男,2001-05-30,1.75,东4舍430
02202640,王梅,女,2003-12-28,1.59,西4舍431
02002642,樊华,男,2003-10-17,1.74,东4舍431
02202644,郑晶,女,2002-12-06,1.50,西4舍431
02002646,王静,男,2003-03-02,1.74,东4舍431
02202648,安秀芳,女,2003-06-28,1.62,西4舍432
02002650,崔玲,男,2003-11-16,1.62,东4舍432
02202652,张红,女,2003-05-22,1.51,西4舍432
02002654,刘帆,男,2002-11-25,1.67,东4舍432
02202656,王婷,女,2002-06-08,1.56,西4舍433
02002658,邵丹,男,2002-03-04,1.72,东4舍433
02202660,吕秀梅,女,2001-05-31,1.67,西4舍433
02002662,李玉英,男,2001-04-18,1.65,东4舍433
02202664,倪强,女,2002-03-16,1.54,西4舍434
02002666,彭平,男,2001-04-03,1.86,东4舍434
02202668,黄文,女,2001-11-28,1.76,西4舍434
02002670,李丽娟,男,2002-03-26,1.62,东4舍434
02202672,祁勇,女,2001-05-11,1.75,西4舍435
02002674,张旭,男,2002-06-14,1.72,东4舍435
02202676,石斌,女,2001-02-19,1.78,西4舍435
02002678,范玉,男,2003-06-14,1.81,东4舍435
02202680,罗杰,女,2002-08-05,1.51,西4舍436
02002682,毕玉梅,男,2001-05-16,1.78,东4舍436
02202684,吕婷婷,女,2001-09-01,1.79,西4舍436
02002686,王慧,男,2002-05-25,1.89,东4舍436
02202688,姜桂芝,女,2003-12-30,1.69,西4舍437
02002690,李红梅,男,2001-03-03,1.65,东4舍437
02202692,汪林,女,2002-06-29,1.73,西4舍437
02002694,黄云,男,2003-08-26,1.83,东4舍437
02202696,萧兰英,女,2002-06-01,1.52,西4舍438
02002698,韦璐,男,2001-12-02,1.70,东4舍438
02202700,贺洋,女,2002-03-17,1.60,西4舍438
02002702,王玉梅,男,2003-10-31,1.66,东4舍438
02202704,张秀云,女,2002-05-29,1.78,西4舍439
02002706,徐欢,男,2001-08-08,1.71,东4舍439
02202708,杜淑华,女,2001-05-11,1.74,西4舍439
02002710,唐凤英,男,2001-03-13,1.64,东4舍439
02202712,陈琴,女,2002-02-23,1.64,西4舍440
02002714,吕成,男,2001-08-26,1.76,东4舍440
02202716,秦刚,女,2003-12-12,1.54,西4舍440
02002718,赵丽华,男,2001-08-11,1.70,东4舍440
02202720,周春梅,女,2002-12-03,1.74,西4舍441
02002722,郭慧,男,2001-05-24,1.65,东4舍441
02202724,张建华,女,2003-03-01,1.79,西4舍441
02002726,朱璐,男,2001-03-17,1.74,东4舍441
02202728,刘勇,女,2002-01-30,1.58,西4舍442
02002730,刘秀梅,男,2003-07-27,1.74,东4舍442
02202732,古晨,女,2001-05-31,1.79,西4舍442
02002734,韦秀荣,男,2001-06-19,1.88,东4舍442
02202736,金玉英,女,2001-09-04,1.52,西4舍443
02002738,宋雷,男,2001-11-07,1.77,东4舍443
02202740,刘荣,女,2003-04-19,1.51,西4舍443
02002742,蔡宇,男,2001-01-06,1.82,东4舍443
02202744,黄想,女,2003-05-07,1.67,西4舍444
02002746,王帆,男,2001-08-01,1.87,东4舍444
02202748,俞荣,女,2002-01-06,1.79,西4舍444
02002750,湛娟,男,2001-02-21,1.65,东4舍444
02202752,张秀芳,女,2002-06-10,1.57,西4舍445
02002754,向军,男,2001-03-08,1.78,东4舍445
02202756,巩桂珍,女,2002-04-19,1.55,西4舍445
02002758,张东,男,2001-04-12,1.62,东4舍445
02202760,王凯,女,2003-06-14,1.52,西4舍446
02002762,陈波,男,2003-01-22,1.60,东4舍446
02202764,时辉,女,2001-12-19,1.70,西4舍446
02002766,杨辉,男,2001-10-15,1.88,东4舍446
02202768,王宇,女,2002-09-28,1.53,西4舍447
02002770,刘桂花,男,2002-06-13,1.73,东4舍447
02202772,周桂英,女,2002-08-10,1.51,西4舍447
02002774,朱玉梅,男,2003-09-03,1.65,东4舍447
02202776,王小红,女,2001-03-29,1.57,西4舍448
02002778,李瑜,男,2003-10-25,1.78,东4舍448
02202780,胥伟,女,2001-03-18,1.62,西4舍448
02002782,王磊,男,2002-04-24,1.86,东4舍448
02202784,陈颖,女,2001-12-27,1.52,西4舍449
02002786,唐丹丹,男,2003-08-28,1.68,东4舍449
02202788,徐平,女,2002-09-02,1.57,西4舍449
02002790,杜晶,男,2001-01-17,1.72,东4舍449
02202792,翟鹏,女,2002-11-13,1.59,西4舍450
02002794,史霞,男,2002-01-10,1.70,东4舍450
02202796,张柳,女,2001-09-16,1.57,西4舍450
02002798,张浩,男,2003-07-12,1.64,东4舍450
02202800,黎娟,女,2002-10-10,1.67,西4舍451
02002802,吴畅,男,2001-03-20,1.71,东4舍451
02202804,谭雷,女,2001-01-10,1.54,西4舍451
02002806,刘红霞,男,2001-04-12,1.78,东4舍451
02202808,李龙,女,2001-09-09,1.74,西4舍452
02002810,乔金凤,男,2001-03-10,1.64,东4舍452
02202812,夏军,女,2001-03-22,1.63,西4舍452
02002814,吕秀梅,男,2001-04-20,1.78,东4舍452
02202816,李莹,女,2001-04-06,1.79,西4舍453
02002818,陆凤兰,男,2003-11-06,1.73,东4舍453
02202820,汪建,女,2002-04-14,1.50,西4舍453
02002822,黄波,男,2003-01-19,1.84,东4舍453
02202824,秦娜,女,2002-01-19,1.66,西4舍454
02002826,刘桂花,男,2002-11-14,1.85,东4舍454
02202828,郭倩,女,2002-05-10,1.68,西4舍454
02002830,罗志强,男,2001-04-10,1.71,东4舍454
02202832,王晨,女,2001-06-10,1.73,西4舍455
02002834,袁雪梅,男,2002-07-16,1.74,东4舍455
02202836,林帅,女,2002-11-05,1.69,西4舍455
02002838,左坤,男,2001-05-30,1.78,东4舍455
02202840,谢慧,女,2001-02-18,1.60,西4舍456
02002842,纪玉英,男,2003-01-22,1.77,东4舍456
02202844,王明,女,2002-03-29,1.76,西4舍456
02002846,韩瑞,男,2001-07-12,1.72,东4舍456
02202848,李丹丹,女,2002-03-06,1.63,西4舍457
02002850,冯建华,男,2002-06-05,1.76,东4舍457
02202852,张玉珍,女,2001-12-28,1.60,西4舍457
02002854,李海燕,男,2003-05-25,1.87,东4舍457
02202856,翟桂香,女,2003-01-22,1.57,西4舍458
02002858,陈芳,男,2003-03-18,1.62,东4舍458
02202860,张岩,女,2002-11-12,1.61,西4舍458
02002862,陈岩,男,2002-12-08,1.69,东4舍458
02202864,王坤,女,2002-02-02,1.66,西4舍459
02002866,杨小红,男,2003-04-25,1.61,东4舍459
02202868,武洁,女,2001-10-10,1.53,西4舍459
02002870,林鑫,男,2002-02-21,1.61,东4舍459
02202872,何亮,女,2001-06-17,1.76,西4舍460
02002874,刘杨,男,2001-12-22,1.71,东4舍460
02202876,陈静,女,2003-06-03,1.80,西4舍460
02002878,白杨,男,2003-09-29,1.82,东4舍460
02202880,杨俊,女,2001-03-01,1.51,西4舍461
02002882,李阳,男,2001-03-31,1.74,东4舍461
02202884,雷萍,女,2002-03-26,1.57,西4舍461
02002886,张凤兰,男,2002-11-22,1.70,东4舍461
02202888,臧丽华,女,2001-07-31,1.54,西4舍462
02002890,李娟,男,2002-11-15,1.62,东4舍462
02202892,张雪梅,女,2001-03-08,1.77,西4舍462
02002894,温利,男,2002-08-22,1.83,东4舍462
02202896,李强,女,2003-01-26,1.59,西4舍463
02002898,钱芳,男,2002-01-21,1.68,东4舍463
02202900,余洁,女,2002-07-19,1.79,西4舍463
02002902,曾英,男,2003-02-03,1.90,东4舍463
02202904,王玉,女,2002-08-21,1.62,西4舍464
02002906,李博,男,2003-04-03,1.72,东4舍464
02202908,马超,女,2001-04-30,1.75,西4舍464
02002910,张英,男,2003-06-23,1.69,东4舍464
02202912,龚亮,女,2002-05-02,1.62,西4舍465
02002914,刘慧,男,2001-06-27,1.84,东4舍465
02202916,王艳,女,2002-02-26,1.71,西4舍465
02002918,吴杰,男,2003-02-15,1.67,东4舍465
02202920,朱淑华,女,2003-11-24,1.71,西4舍466
02002922,萧畅,男,2001-11-21,1.63,东4舍466
02202924,李瑞,女,2001-01-27,1.58,西4舍466
02002926,陈辉,男,2001-02-21,1.61,东4舍466
02202928,杨桂珍,女,2001-11-28,1.78,西4舍467
02002930,施玉华,男,2003-04-11,1.76,东4舍467
02202932,卢俊,女,2001-12-21,1.51,西4舍467
02002934,金红梅,男,2002-10-08,1.81,东4舍467
02202936,王宇,女,2001-05-02,1.58,西4舍468
02002938,江雪,男,2001-12-15,1.61,东4舍468
02202940,吴浩,女,2001-10-27,1.68,西4舍468
02002942,纪宇,男,2002-01-04,1.64,东4舍468
02202944,周涛,女,2001-10-08,1.59,西4舍469
02002946,苟明,男,2003-08-22,1.78,东4舍469
02202948,张莉,女,2001-03-10,1.76,西4舍469
02002950,杨杰,男,2003-12-06,1.80,东4舍469
02202952,林秀兰,女,2001-09-07,1.54,西4舍470
02002954,刘金凤,男,2001-11-15,1.76,东4舍470
02202956,程淑兰,女,2001-03-16,1.61,西4舍470
02002958,王静,男,2001-03-16,1.82,东4舍470
02202960,冯鑫,女,2001-03-18,1.67,西4舍471
02002962,洪淑兰,男,2002-08-02,1.90,东4舍471
02202964,姚海燕,女,2003-10-31,1.50,西4舍471
02002966,龚晶,男,2003-08-21,1.73,东4舍471
02202968,邓畅,女,2003-06-26,1.53,西4舍472
02002970,杨燕,男,2001-08-01,1.65,东4舍472
02202972,陈博,女,2003-08-22,1.79,西4舍472
02002974,萧斌,男,2002-09-20,1.88,东4舍472
02202976,鞠超,女,2001-05-14,1.70,西4舍473
02002978,王杨,男,2003-07-18,1.73,东4舍473
02202980,康霞,女,2002-04-24,1.55,西4舍473
02002982,王杰,男,2002-10-03,1.60,东4舍473
02202984,邓丽娟,女,2003-05-23,1.69,西4舍474
02002986,王佳,男,2001-04-21,1.71,东4舍474
02202988,杨玉兰,女,2003-05-29,1.56,西4舍474
02002990,雷秀荣,男,2002-03-13,1.64,东4舍474
02202992,姚帆,女,2003-12-21,1.61,西4舍475
02002994,刘东,男,2003-08-07,1.88,东4舍475
02202996,余淑珍,女,2001-03-31,1.65,西4舍475
02002998,林勇,男,2002-09-27,1.64,东4舍475
02203000,张华,女,2001-09-05,1.69,西5舍476
02003002,周桂荣,男,2003-05-20,1.87,东5舍476
02203004,王晨,女,2002-04-13,1.57,西5舍476
02003006,魏欢,男,2003-01-24,1.86,东5舍476
02203008,谢兵,女,2002-11-17,1.79,西5舍477
02003010,冉桂英,男,2003-08-07,1.90,东5舍477
02203012,孙梅,女,2003-10-13,1.52,西5舍477
02003014,王雪梅,男,2001-06-04,1.74,东5舍477
02203016,徐柳,女,2003-10-19,1.51,西5舍478
02003018,刘秀芳,男,2002-10-30,1.85,东5舍478
02203020,朱林,女,2002-04-25,1.56,西5舍478
02003022,杨桂芝,男,2003-05-04,1.80,东5舍478
02203024,李玲,女,2002-08-11,1.64,西5舍479
02003026,杜凤英,男,2001-09-22,1.89,东5舍479
02203028,刘兰英,女,2003-03-01,1.62,西5舍479
02003030,张霞,男,2002-12-14,1.61,东5舍479
02203032,黄桂珍,女,2001-09-10,1.75,西5舍480
02003034,瞿晨,男,2001-12-03,1.68,东5舍480
02203036,卜琴,女,2002-08-21,1.52,西5舍480
02003038,张龙,男,2002-04-22,1.62,东5舍480
02203040,鲁利,女,2003-10-04,1.61,西5舍481
02003042,赵淑珍,男,2001-03-08,1.82,东5舍481
02203044,陈平,女,2001-11-16,1.61,西5舍481
02003046,吴宁,男,2002-05-09,1.78,东5舍481
02203048,李秀云,女,2003-03-18,1.60,西5舍482
02003050,陈萍,男,2003-03-06,1.74,东5舍482
02203052,张秀英,女,2003-07-11,1.78,西5舍482
02003054,杜宁,男,2003-01-16,1.71,东5舍482
02203056,王娟,女,2002-12-09,1.62,西5舍483
02003058,张桂兰,男,2003-05-02,1.80,东5舍483
02203060,黄浩,女,2001-05-25,1.65,西5舍483
02003062,徐慧,男,2003-05-22,1.77,东5舍483
02203064,邹鑫,女,2003-02-11,1.54,西5舍484
02003066,孙阳,男,2002-07-24,1.70,东5舍484
02203068,李淑华,女,2001-07-16,1.56,西5舍484
02003070,张娜,男,2001-10-02,1.89,东5舍484
02203072,赵玉兰,女,2003-06-17,1.80,西5舍485
02003074,曹瑞,男,2002-11-06,1.79,东5舍485
02203076,刘红,女,2001-09-12,1.56,西5舍485
02003078,任平,男,2001-07-17,1.79,东5舍485
02203080,詹淑珍,女,2003-09-10,1.74,西5舍486
02003082,童秀华,男,2003-12-02,1.84,东5舍486
02203084,陈雷,女,2003-03-01,1.78,西5舍486
02003086,郭桂香,男,2002-06-05,1.62,东5舍486
02203088,雷欢,女,2003-11-16,1.52,西5舍487
02003090,李帆,男,2003-06-19,1.73,东5舍487
02203092,鞠琴,女,2002-09-15,1.66,西5舍487
02003094,苏小红,男,2003-08-11,1.82,东5舍487
02203096,殷洁,女,2001-11-04,1.71,西5舍488
02003098,谢明,男,2001-12-14,1.84,东5舍488
02203100,满桂芝,女,2001-09-14,1.58,西5舍488
02003102,周玉,男,2003-11-16,1.61,东5舍488
02203104,由莉,女,2001-06-08,1.74,西5舍489
02003106,戴静,男,2003-03-01,1.83,东5舍489
02203108,陈丹,女,2002-02-27,1.61,西5舍489
02003110,张涛,男,2002-02-10,1.63,东5舍489
02203112,范文,女,2003-11-20,1.78,西5舍490
02003114,杨强,男,2002-06-05,1.90,东5舍490
02203116,黄秀英,女,2001-06-05,1.53,西5舍490
02003118,曹桂香,男,2003-08-05,1.62,东5舍490
02203120,邢瑞,女,2002-10-30,1.56,西5舍491
02003122,郭莹,男,2001-07-17,1.74,东5舍491
02203124,李伟,女,2001-10-07,1.52,西5舍491
02003126,吴坤,男,2003-10-09,1.74,东5舍491
02203128,张峰,女,2002-07-05,1.57,西5舍492
02003130,张娟,男,2003-12-22,1.61,东5舍492
02203132,束玉兰,女,2002-01-26,1.67,西5舍492
02003134,陈建平,男,2002-08-28,1.78,东5舍492
02203136,杨秀英,女,2003-05-13,1.66,西5舍493
02003138,蓝阳,男,2001-11-02,1.62,东5舍493
02203140,彭桂英,女,2001-01-24,1.62,西5舍493
02003142,赵雷,男,2003-02-11,1.75,东5舍493
02203144,阎丽丽,女,2002-04-03,1.53,西5舍494
02003146,张旭,男,2002-05-22,1.62,东5舍494
02203148,张强,女,2002-05-13,1.61,西5舍494
02003150,沈琳,男,2003-11-26,1.87,东5舍494
02203152,黄超,女,2001-02-05,1.71,西5舍495
02003154,崔燕,男,2002-12-07,1.60,东5舍495
02203156,单明,女,2001-08-16,1.79,西5舍495
02003158,岑小红,男,2001-09-10,1.70,东5舍495
02203160,李欢,女,2002-11-07,1.59,西5舍496
02003162,陈浩,男,2001-03-31,1.88,东5舍496
02203164,彭秀云,女,2003-10-21,1.67,西5舍496
02003166,殷秀华,男,2003-09-24,1.90,东5舍496
02203168,赫飞,女,2001-08-05,1.70,西5舍497
02003170,方鹏,男,2001-12-27,1.74,东5舍497
02203172,李俊,女,2001-04-29,1.74,西5舍497
02003174,童龙,男,2001-10-11,1.82,东5舍497
02203176,牟平,女,2001-07-12,1.75,西5舍498
02003178,吴春梅,男,2002-10-04,1.64,东5舍498
02203180,徐彬,女,2001-04-05,1.79,西5舍498
02003182,李军,男,2003-04-08,1.86,东5舍498
02203184,张宇,女,2002-01-25,1.67,西5舍499
02003186,刘洁,男,2001-03-13,1.65,东5舍499
02203188,秦玉梅,女,2002-07-26,1.55,西5舍499
02003190,王兵,男,2003-01-02,1.75,东5舍499
02203192,邹洁,女,2001-12-14,1.73,西5舍500
02003194,张杨,男,2001-06-20,1.86,东5舍500
02203196,赵建,女,2003-07-03,1.57,西5舍500
02003198,张旭,男,2003-09-27,1.76,东5舍500
02203200,贾婷婷,女,2001-11-22,1.69,西5舍501
02003202,张桂兰,男,2003-08-13,1.73,东5舍501
02203204,凌玉珍,女,2003-03-13,1.64,西5舍501
02003206,吴琳,男,2003-11-22,1.77,东5舍501
02203208,李玉珍,女,2001-06-08,1.67,西5舍502
02003210,杨秀梅,男,2001-04-30,1.83,东5舍502
02203212,赵瑞,女,2001-01-15,1.77,西5舍502
02003214,陈欣,男,2003-02-13,1.67,东5舍502
02203216,葛慧,女,2002-10-17,1.70,西5舍503
02003218,何斌,男,2003-03-04,1.83,东5舍503
02203220,余红,女,2002-01-01,1.66,西5舍503
02003222,柏龙,男,2003-03-27,1.69,东5舍503
02203224,胡玲,女,2001-11-29,1.68,西5舍504
02003226,李莹,男,2002-03-09,1.61,东5舍504
02203228,孔淑珍,女,2003-04-08,1.59,西5舍504
02003230,叶鹏,男,2003-11-17,1.82,东5舍504
02203232,王鑫,女,2003-12-16,1.69,西5舍505
02003234,安文,男,2003-03-13,1.75,东5舍505
02203236,廖秀兰,女,2001-06-05,1.60,西5舍505
02003238,李芳,男,2002-06-16,1.83,东5舍505
02203240,李云,女,2001-10-06,1.62,西5舍506
02003242,梁勇,男,2001-12-19,1.73,东5舍506
02203244,周文,女,2002-02-16,1.77,西5舍506
02003246,郑丽,男,2003-02-16,1.79,东5舍506
02203248,李梅,女,2002-02-18,1.50,西5舍507
02003250,钱雪,男,2001-11-11,1.86,东5舍507
02203252,张雪梅,女,2001-06-23,1.75,西5舍507
02003254,李鹏,男,2001-01-21,1.87,东5舍507
02203256,李军,女,2003-05-20,1.72,西5舍508
02003258,邱想,男,2001-01-17,1.82,东5舍508
02203260,高明,女,2003-04-07,1.63,西5舍508
02003262,胡婷,男,2002-02-15,1.66,东5舍508
02203264,何秀梅,女,2002-02-03,1.63,西5舍509
02003266,陈瑜,男,2001-10-23,1.80,东5舍509
02203268,游秀兰,女,2003-07-23,1.78,西5舍509
02003270,龚华,男,2003-04-04,1.86,东5舍509
02203272,萧勇,女,2001-02-21,1.53,西5舍510
02003274,权雷,男,2001-03-12,1.71,东5舍510
02203276,李琳,女,2001-02-06,1.80,西5舍510
02003278,胡慧,男,2003-08-15,1.70,东5舍510
02203280,蒋帆,女,2003-01-07,1.56,西5舍511
02003282,李坤,男,2001-10-07,1.86,东5舍511
02203284,萧欣,女,2003-12-17,1.61,西5舍511
02003286,廖博,男,2002-05-30,1.60,东5舍511
02203288,沈海燕,女,2001-05-06,1.75,西5舍512
02003290,朱磊,男,2001-02-26,1.75,东5舍512
02203292,奚晨,女,2001-08-30,1.78,西5舍512
02003294,宋瑞,男,2002-01-31,1.83,东5舍512
02203296,蒋桂荣,女,2003-12-20,1.67,西5舍513
02003298,徐楠,男,2002-06-06,1.71,东5舍513
02203300,傅颖,女,2003-04-17,1.74,西5舍513
02003302,王坤,男,2003-03-09,1.62,东5舍513
02203304,苏桂英,女,2001-12-26,1.60,西5舍514
02003306,王辉,男,2001-01-07,1.84,东5舍514
02203308,萧丽华,女,2003-04-21,1.52,西5舍514
02003310,朱婷,男,2001-01-20,1.87,东5舍514
02203312,张桂香,女,2003-09-21,1.74,西5舍515
02003314,吴军,男,2001-01-07,1.90,东5舍515
02203316,张秀兰,女,2001-10-08,1.56,西5舍515
02003318,姚宁,男,2002-07-15,1.62,东5舍515
02203320,韦慧,女,2003-09-16,1.62,西5舍516
02003322,李玉英,男,2001-05-17,1.77,东5舍516
02203324,杨亮,女,2003-05-04,1.56,西5舍516
02003326,郭欢,男,2002-04-06,1.88,东5舍516
02203328,薛华,女,2001-04-24,1.71,西5舍517
02003330,夏雪,男,2001-03-23,1.73,东5舍517
02203332,黄芳,女,2002-12-19,1.59,西5舍517
02003334,王成,男,2001-05-22,1.68,东5舍517
02203336,张琴,女,2002-10-01,1.59,西5舍518
02003338,宫杰,男,2003-10-14,1.62,东5舍518
02203340,刘丽,女,2003-03-21,1.68,西5舍518
02003342,高建平,男,2001-05-26,1.90,东5舍518
02203344,李婷婷,女,2003-12-13,1.56,西5舍519
02003346,邹龙,男,2002-08-22,1.70,东5舍519
02203348,黄斌,女,2001-10-28,1.68,西5舍519
02003350,孙燕,男,2002-10-30,1.65,东5舍519
02203352,范宇,女,2003-03-26,1.77,西5舍520
02003354,陈辉,男,2002-02-12,1.81,东5舍520
02203356,张桂花,女,2001-03-17,1.57,西5舍520
02003358,陈桂珍,男,2001-08-17,1.79,东5舍520
02203360,薛强,女,2003-11-22,1.52,西5舍521
02003362,杨凤兰,男,2001-12-14,1.82,东5舍521
02203364,张秀荣,女,2002-10-18,1.80,西5舍521
02003366,王桂香,男,2001-08-27,1.76,东5舍521
02203368,张文,女,2002-11-13,1.71,西5舍522
02003370,安琳,男,2003-09-24,1.67,东5舍522
02203372,屠军,女,2003-07-21,1.58,西5舍522
02003374,包莹,男,2003-03-07,1.69,东5舍522
02203376,范俊,女,2001-06-05,1.69,西5舍523
02003378,冯淑英,男,2001-04-04,1.85,东5舍523
02203380,杜凯,女,2001-01-11,1.64,西5舍523
02003382,兰坤,男,2002-05-09,1.62,东5舍523
02203384,吴玉梅,女,2001-01-11,1.58,西5舍524
02003386,梁刚,男,2003-01-23,1.66,东5舍524
02203388,张阳,女,2001-01-27,1.61,西5舍524
02003390,吴淑兰,男,2003-04-09,1.63,东5舍524
02203392,刘文,女,2003-11-11,1.68,西5舍525
02003394,张燕,男,2001-03-28,1.84,东5舍525
02203396,苏想,女,2001-11-04,1.68,西5舍525
02003398,黄想,男,2002-11-13,1.62,东5舍525
02203400,王建平,女,2003-10-07,1.56,西5舍526
02003402,覃亮,男,2001-11-06,1.75,东5舍526
02203404,杨文,女,2002-10-05,1.66,西5舍526
02003406,叶建国,男,2002-05-03,1.70,东5舍526
02203408,王伟,女,2002-11-22,1.52,西5舍527
02003410,杜军,男,2001-07-16,1.67,东5舍527
02203412,邓小红,女,2002-11-16,1.54,西5舍527
02003414,黄玉兰,男,2002-03-21,1.86,东5舍527
02203416,王勇,女,2001-05-04,1.66,西5舍528
02003418,李慧,男,2002-08-30,1.61,东5舍528
02203420,金萍,女,2001-04-09,1.61,西5舍528
02003422,郑萍,男,2003-03-25,1.62,东5舍528
02203424,卫丹丹,女,2003-07-22,1.68,西5舍529
02003426,魏志强,男,2001-12-17,1.71,东5舍529
02203428,贾雪,女,2003-08-16,1.56,西5舍529
02003430,王亮,男,2002-09-24,1.68,东5舍529
02203432,黄涛,女,2001-09-15,1.65,西5舍530
02003434,彭柳,男,2001-05-03,1.62,东5舍530
02203436,缪淑兰,女,2002-02-20,1.69,西5舍530
02003438,高伟,男,2002-11-04,1.68,东5舍530
02203440,周博,女,2003-01-14,1.53,西5舍531
02003442,杨建国,男,2003-04-07,1.82,东5舍531
02203444,宋鹏,女,2001-02-28,1.71,西5舍531
02003446,杨秀云,男,2001-06-24,1.87,东5舍531
02203448,马想,女,2003-02-26,1.50,西5舍532
02003450,亓想,男,2003-02-20,1.66,东5舍532
02203452,谢欣,女,2003-10-15,1.50,西5舍532
02003454,张畅,男,2002-10-09,1.63,东5舍532
02203456,辛成,女,2001-01-28,1.79,西5舍533
02003458,曹慧,男,2002-07-31,1.85,东5舍533
02203460,杨婷,女,2002-08-08,1.63,西5舍533
02003462,袁芳,男,2003-06-14,1.87,东5舍533
02203464,赵东,女,2003-11-20,1.67,西5舍534
02003466,张丽娟,男,2001-04-22,1.79,东5舍534
02203468,曹倩,女,2001-03-29,1.65,西5舍534
02003470,洪兵,男,2001-10-09,1.79,东5舍534
02203472,夏想,女,2001-07-12,1.78,西5舍535
02003474,李洁,男,2002-10-15,1.90,东5舍535
02203476,周丽,女,2003-01-09,1.62,西5舍535
02003478,刘军,男,2001-01-08,1.66,东5舍535
02203480,雷桂珍,女,2003-04-21,1.74,西5舍536
02003482,余玉英,男,2002-10-11,1.60,东5舍536
02203484,刘红梅,女,2001-01-06,1.50,西5舍536
02003486,王秀芳,男,2002-07-09,1.82,东5舍536
02203488,宋雪梅,女,2003-04-17,1.62,西5舍537
02003490,孟勇,男,2002-03-28,1.63,东5舍537
02203492,舒兰英,女,2001-11-24,1.52,西5舍537
02003494,高红,男,2002-09-11,1.74,东5舍537
02203496,翁秀兰,女,2002-11-13,1.53,西5舍538
02003498,王淑珍,男,2003-12-29,1.73,东5舍538
02203500,李淑兰,女,2003-05-19,1.64,西5舍538
02003502,王燕,男,2002-02-14,1.73,东5舍538
02203504,王雷,女,2002-10-05,1.57,西5舍539
02003506,覃桂芳,男,2003-01-24,1.68,东5舍539
02203508,曹博,女,2002-02-23,1.64,西5舍539
02003510,刘丽华,男,2003-06-21,1.86,东5舍539
02203512,张鑫,女,2003-01-23,1.63,西5舍540
02003514,萧梅,男,2003-10-15,1.71,东5舍540
02203516,汪敏,女,2003-01-03,1.58,西5舍540
02003518,沈涛,男,2003-03-01,1.76,东5舍540
02203520,邱龙,女,2001-03-29,1.67,西5舍541
02003522,庄莹,男,2001-11-27,1.89,东5舍541
02203524,陈玲,女,2003-09-26,1.62,西5舍541
02003526,余佳,男,2002-08-25,1.61,东5舍541
02203528,汪萍,女,2002-05-07,1.68,西5舍542
02003530,刘丽娟,男,2001-09-23,1.60,东5舍542
02203532,黄桂芝,女,2001-04-19,1.66,西5舍542
02003534,李建华,男,2002-03-14,1.63,东5舍542
02203536,李梅,女,2002-07-30,1.61,西5舍543
02003538,施小红,男,2002-11-03,1.65,东5舍543
02203540,胡晨,女,2001-10-16,1.53,西5舍543
02003542,周斌,男,2003-11-29,1.71,东5舍543
02203544,朱龙,女,2001-03-28,1.70,西5舍544
02003546,商秀荣,男,2001-07-04,1.76,东5舍544
